"id_etudiant","nom","filiere","moyenne_s1","moyenne_s2","variation_moyenne"
"ETU0042","Simon Fournier","Economie",6.64,10.56,3.92
"ETU0012","Chloe Blanc","Physique",10.12,13.82,3.7
"ETU0027","Pierre Dupont","Physique",9.68,13.1,3.42
"ETU0152","Alice Dupont","Informatique",12.12,15.46,3.34
"ETU0056","Lucie Fournier","Informatique",10.22,13.5,3.28
"ETU0200","Lucie Michel","Physique",8.34,11.34,3
"ETU0052","Maxime Andre","Physique",9.12,12.04,2.92
"ETU0048","Louise Martin","Mathématiques",10.7,13.46,2.76
"ETU0011","Baptiste Garcia","Informatique",9.93,12.58,2.65
"ETU0162","Charlotte Durand","Informatique",9.5,12.06,2.56
